id,threads,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr,source
gemm.evallab.papi0y379n8gwgbww6px,7,151718999,116537087,64969231,17150676,17116240,40154483,40177662,21286,7,0,50364416,0,50397184,0,50331648,50495609,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,7,151719002,126277046,74521626,17211250,17181121,41170161,41173157,21359,3,0,50364416,0,50397184,0,50331648,50495612,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,7,151719001,116543720,65223890,17132351,17099570,40421833,40426065,22146,3,0,50364416,0,50397184,0,50331648,50495406,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,7,151718999,109282967,58617532,17071039,17034030,41627135,41643264,20037,3,0,50364416,0,50397184,0,50331648,50495606,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,7,151718998,109750727,58921231,17057853,17025333,41463894,41479372,20329,3,0,50364416,0,50397184,0,50331648,50495612,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,8,151719000,118218000,66848382,17157422,17131364,41256286,41248862,21696,3,0,50364416,0,50397184,0,50331648,50495611,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,8,151718998,111165891,59898028,17078016,17046476,41246685,40895867,21509,8,0,50364416,0,50397184,0,50331648,50495260,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,8,151719000,118314938,66939167,17162907,17129651,42110782,42125019,20820,1,0,50364416,0,50397184,0,50331648,50495607,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,8,151719000,117176847,65418949,17165209,17135251,39560638,39555785,21413,3,0,50364416,0,50397184,0,50331648,50495607,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,8,151719000,115046804,63953435,17158014,17159766,39226111,39233312,21129,3,0,50364416,0,50397184,0,50331648,50495624,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,8,151719000,116445750,65256126,17170710,17140858,39875913,39886672,21609,7,0,50364416,0,50397184,0,50331648,50495611,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,8,151719000,116800970,65512785,17144168,17143887,40788717,40792806,20339,6,0,50364416,0,50397184,0,50331648,50495624,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,8,151719000,116986523,65663729,17189615,17156291,40147421,40152965,20726,4,0,50364416,0,50397184,0,50331648,50495621,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,8,151718998,110017118,58955579,17086554,17052395,41633663,41547263,20148,2,0,50364416,0,50397184,0,50331648,50495254,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,8,151719000,117171913,65913360,17131885,17099639,40725866,40717247,21113,4,0,50364416,0,50397184,0,50331648,50495625,gemm.evallab.c
