id,threads,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr,source,n
gemm.openmp.papiezd17r8kx6cenjtg,3,23313203,7523952,747669,704551,204127,1290647,1293017,11137,19,0,5669128,0,11316232,0,22024,8545846,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,3,23314576,7591266,833661,704781,198850,1364476,1366134,11164,26,0,5669128,0,11316232,0,22024,8545893,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,3,23313427,7584161,760932,705145,200721,1308685,1309706,11171,16,0,5669128,0,11316232,0,22024,8546004,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,3,23314170,7521715,798896,704587,203469,1284656,1287558,11142,21,0,5669128,0,11316232,0,22024,8545965,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,3,23305931,7582949,914859,702605,591676,1366519,1352444,11158,38,0,5669128,0,11316232,0,22024,8546154,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,4,17345353,5705311,701739,524518,141017,982630,982886,8251,17,0,4218888,0,8421384,0,16392,6360144,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,4,17342930,5719423,802529,524690,140116,983023,984533,8236,28,0,4218888,0,8421384,0,16392,6360335,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,4,17342929,5728654,793255,522677,433394,979611,979690,8265,42,0,4218888,0,8421384,0,16392,6360151,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,4,17345962,5717648,702734,524614,138682,1027549,1027907,8289,24,0,4218888,0,8421384,0,16392,6360078,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,4,17349211,5658686,622895,524780,146409,962781,963739,8275,26,0,4218888,0,8421384,0,16392,6360098,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,4,17346816,5619641,654526,524568,147611,977227,976815,8285,35,0,4218888,0,8421384,0,16392,6360034,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,4,17349077,5676133,617760,524558,147477,949695,947684,8293,19,0,4218888,0,8421384,0,16392,6360139,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,4,17346564,5678141,659491,524619,143697,984685,984526,8250,20,0,4218888,0,8421384,0,16392,6360286,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,4,17344219,5604000,677629,522831,145286,937691,936390,8265,23,0,4218888,0,8421384,0,16392,6360097,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,4,17343723,5638705,738810,522896,434832,1041234,1041247,8287,18,0,4218888,0,8421384,0,16392,6360202,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,5,14092662,4628663,627123,424896,355639,747018,747152,6818,18,0,3427848,0,6842376,0,13320,5168144,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,5,14092662,4646092,643768,424842,352728,777733,778183,6796,19,0,3427848,0,6842376,0,13320,5168144,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,5,14092662,4552022,561434,426178,117971,792922,790830,6751,21,0,3427848,0,6842376,0,13320,5168145,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,5,14092662,4621319,547726,426160,119404,755901,759980,6735,17,0,3427848,0,6842376,0,13320,5168144,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,5,14092663,4637132,630138,424891,354757,828302,829084,6773,20,0,3427848,0,6842376,0,13320,5168145,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,5,14092662,6099247,1017789,426867,26211,787115,786799,6637,22,0,3427848,0,6842376,0,13320,5167303,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,5,14092663,6103513,1033525,426857,25061,831230,832822,6676,18,0,3427848,0,6842376,0,13320,5167304,gemm.openmp.c,256
